権利付最終日,銘柄コード,銘柄名,市場,貸借,出来高,時価総額,発行株数,PER,PBR,単位,逆日歩確報,逆日歩_日数,日証金_買い残高,日証金_買い新規,日証金_売り残高,日証金_売り新規,日証金_残高倍率
2019-01-15,2590,ダイドーグループホールディングス,東P,貸借,334000,95268870000,33136998.260869566,23.32,0.97,100,4.95,3,20400,6600,41000,8000,0.5
2019-01-28,1433,ベステラ,東P,貸借,35700,12349570000,8355595.399188092,19.55,4.66,100,24.0,1,6500,0,34300,1500,0.19
2019-01-28,1928,積水ハウス,東P,貸借,3226300,1160300000000,690654761.9047619,8.93,0.97,100,3.15,1,197600,110700,271200,138800,0.73
2019-01-28,2353,日本駐車場開発,東P,貸借,1210500,51911390000,348398590.60402685,16.71,5.17,100,0.0,1,82400,7500,75400,3500,1.09
2019-01-28,3193,鳥貴族ホールディングス,東P,貸借,86900,21338540000,11622298.474945534,-1.0,3.26,100,30.4,1,9300,100,200000,300,0.05
2019-01-28,3320,クロスプラス,東S,貸借,39400,6020660000,7718794.871794872,17.71,0.49,100,12.8,1,1400,0,42700,13400,0.03
2019-01-28,3415,ＴＯＫＹＯ　ＢＡＳＥ,東P,貸借,508700,32260720000,47164795.32163743,33.39,6.39,100,0.05,1,341900,800,771400,11300,0.44
2019-01-28,3455,ヘルスケア＆メディカル投資法人,東証,貸借,1958,22690070000,193106.97872340426,42.04,1.12,1,0.0,1,222,23,23,0,9.65
2019-01-28,6654,不二電機工業,東S,貸借,22000,8783070000,6668997.722095672,27.28,0.73,100,11.2,1,1400,500,33900,4900,0.04
2019-01-28,8013,ナイガイ,東S,貸借,38200,4199030000,8217279.843444227,11.25,0.44,100,0.05,1,106500,0,36100,6700,2.95
2019-01-28,8142,トーホー,東P,貸借,30600,22883280000,11012165.543792108,26.33,0.94,100,3.9,1,10000,3900,28100,6500,0.36
2019-02-15,6279,瑞光,東P,貸借,11600,17517600000,28811842.10526316,9.71,0.64,100,0.55,1,16000,0,0,0,-1.0
2019-02-15,7545,西松屋チェーン,東P,貸借,924300,62212430000,69588847.87472036,25.05,0.89,100,2.0,1,17000,700,100300,47700,0.17
2019-02-15,8217,オークワ,東P,貸借,143800,47408680000,45237290.07633588,187.67,0.61,100,1.0,1,56400,55100,29400,14300,1.92
2019-02-15,8227,しまむら,東P,貸借,245000,339971480000,36913298.58849077,21.16,0.94,100,9.95,1,6200,0,70800,15100,0.09
2019-02-15,8276,平和堂,東P,貸借,749200,148005470000,58546467.56329114,15.44,0.87,100,20.8,1,7700,1000,19000,8400,0.41
2019-02-25,2292,Ｓ　ＦＯＯＤＳ,東P,貸借,100900,133749700000,32267720.144752715,18.24,1.64,100,4.4,1,6400,1800,7900,3200,0.81
2019-02-25,2337,いちご,東P,貸借,3064200,191397430000,505006411.6094987,12.04,1.87,100,0.05,1,72500,30900,50900,2000,1.42
2019-02-25,2379,ディップ,東P,貸借,340900,126914000000,62000000.0,12.47,4.49,100,0.0,1,39500,700,22600,9000,1.75
2019-02-25,2659,サンエー,東P,貸借,233800,140239550000,31981653.363740023,14.4,1.15,100,8.75,1,5000,2300,5000,2000,1.0
2019-02-25,2669,カネ美食品,東S,貸借,5300,32900000000,10000000.0,-1.0,1.37,100,54.4,1,0,0,7600,1400,0.0
2019-02-25,2685,アダストリア,東P,貸借,475100,92427200000,48800000.0,22.03,1.62,100,2.0,1,23100,800,68300,32800,0.34
2019-02-25,2687,シー・ヴイ・エス・ベイエリア,東S,貸借,14800,3975240000,5064000.0,1.02,0.7,100,5.85,1,2300,0,9800,3400,0.23
2019-02-25,2726,パルグループホールディングス,東P,貸借,281600,72762720000,92573435.11450382,14.53,1.66,100,5.7,1,17000,4200,32200,21400,0.53
2019-02-25,2742,ハローズ,東P,貸借,30700,41993760000,19864597.918637652,13.24,1.32,100,0.0,1,300,0,0,0,-1.0
2019-02-25,2882,イートアンドホールディングス,東P,貸借,9400,17167340000,10158189.349112427,51.09,2.39,100,0.05,1,7400,600,37300,0,0.2
2019-02-25,2884,ヨシムラ・フード・ホールディングス,東P,貸借,72400,14026040000,21915687.5,53.19,3.27,100,0.0,1,58200,0,0,0,-1.0
2019-02-25,2930,北の達人コーポレーション,東P,貸借,2429200,68419920000,141072000.0,52.12,22.91,100,0.0,1,214000,12900,0,0,-1.0
2019-02-25,3048,ビックカメラ,東P,貸借,2027100,236123610000,188146302.78884462,15.72,1.65,100,2.5,1,22400,1000,5600,600,4.0
2019-02-25,3050,ＤＣＭホールディングス,東P,貸借,634800,158347960000,142527416.74167415,12.12,0.79,100,0.8,1,5500,0,83200,10900,0.07
2019-02-25,3063,ジェイグループホールディングス,東G,貸借,30900,7303820000,8907097.56097561,116.52,3.25,100,13.5,1,200,0,53200,22100,0.0
2019-02-25,3086,Ｊ．フロント　リテイリング,東P,貸借,958000,333066450000,270565759.5450853,11.78,0.78,100,1.05,1,52300,18000,52300,13700,1.0
2019-02-25,3087,ドトール・日レスホールディングス,東P,貸借,665300,109975010000,50609760.69949379,16.23,0.95,100,2.6,1,12900,2800,48800,2900,0.26
2019-02-25,3093,トレジャー・ファクトリー,東P,貸借,101800,8722290000,23197579.78723404,14.8,1.95,100,0.05,1,18200,400,47000,7600,0.39
2019-02-25,3141,ウエルシアホールディングス,東P,貸借,1920800,421887770000,209581604.5702931,24.14,2.94,100,3.3,1,48400,4600,6600,0,7.33
2019-02-25,3222,ユナイテッド・スーパーマーケット・ホールディングス,東S,貸借,343500,157095850000,131681349.53897737,28.84,1.08,100,1.3,1,13100,7700,61000,37900,0.21
2019-02-25,3387,クリエイト・レストランツ・ホールディングス,東P,貸借,738800,121339700000,189297503.90015602,90.56,6.4,100,1.5,1,9400,0,622200,222200,0.02
2019-02-25,3479,ティーケーピー,東G,貸借,32400,116558800000,33160398.29302987,60.64,10.73,100,0.0,1,22100,0,0,0,-1.0
2019-02-25,3543,コメダホールディングス,東P,貸借,293700,97527720000,45830695.4887218,18.87,3.28,100,1.95,1,9400,0,9400,200,1.0
2019-02-25,3546,アレンザホールディングス,東P,貸借,76900,15219720000,15174197.40777667,-1.0,1.25,100,8.1,1,22200,19100,25200,11900,0.88
2019-02-25,3548,バロックジャパンリミテッド,東P,貸借,235000,33655980000,36622393.90642002,11.37,1.73,100,0.05,1,7700,0,5100,5100,1.51
2019-02-25,3608,ＴＳＩホールディングス,東P,貸借,141000,73942520000,105783290.4148784,-1.0,0.63,100,1.35,1,19800,200,19800,1000,1.0
2019-02-25,3612,ワールド,東P,貸借,123800,69022660000,34390961.63428002,7.37,0.88,100,0.0,1,18800,1600,18800,300,1.0
2019-02-25,3915,テラスカイ,東P,貸借,58400,24562210000,12293398.398398397,155.56,8.22,100,0.0,1,6400,3800,0,0,-1.0
2019-02-25,3922,ＰＲ　ＴＩＭＥＳ,東P,貸借,46200,15907390000,13378797.308662742,50.66,8.44,100,0.0,1,6400,0,0,0,-1.0
2019-02-25,4343,イオンファンタジー,東P,貸借,73700,55298490000,19728323.225115947,29.65,1.93,100,0.0,1,2400,200,0,0,-1.0
2019-02-25,5018,ＭＯＲＥＳＣＯ,東S,貸借,65800,15524090000,9696495.940037476,10.44,0.96,100,1.95,1,4600,3300,16300,7300,0.28
2019-02-25,6182,メタリアル,東G,貸借,107000,22394190000,10249057.208237987,93.76,19.07,100,0.0,1,21000,0,0,0,-1.0
2019-02-25,7427,エコートレーディング,東S,貸借,17800,3591740000,6036537.81512605,-1.0,0.41,100,1.55,1,17100,200,38100,5300,0.45
2019-02-25,7453,良品計画,東P,貸借,2296000,746313240000,280780000.0,20.64,3.66,100,0.0,1,33000,1000,24000,10000,1.38
2019-02-25,7485,岡谷鋼機,名P,貸借,1000,95158800000,9720000.0,5.71,0.46,100,0.0,1,1200,0,0,0,-1.0
2019-02-25,7512,イオン北海道,東S,貸借,106400,83588120000,106211080.05082592,20.92,1.86,100,1.1,1,8700,7900,73100,30000,0.12
2019-02-25,7513,コジマ,東P,貸借,348300,52279430000,77912712.36959761,7.84,1.06,100,0.05,1,3900,0,511800,17900,0.01
2019-02-25,7516,コーナン商事,東P,貸借,439100,98635920000,34682109.70464135,8.23,0.78,100,4.05,1,23500,5700,24700,11100,0.95
2019-02-25,7603,マックハウス,東S,貸借,22600,11323880000,15597630.85399449,-1.0,1.08,100,12.8,1,1900,0,43100,13300,0.04
2019-02-25,7610,テイツー,東S,貸借,552900,2322260000,55291904.76190476,21.29,1.13,100,0.0,1,112100,0,1400,1200,80.07
2019-02-25,7611,ハイデイ日高,東P,貸借,85030,80629130000,38140553.453169346,26.06,3.22,100,1.35,1,8580,550,13640,1760,0.63
2019-02-25,7630,壱番屋,東P,貸借,504000,154362210000,159630000.0,55.31,5.1,100,6.3,1,4000,0,434000,88500,0.01
2019-02-25,7649,スギホールディングス,東P,貸借,1071000,301771440000,190032392.94710326,16.42,1.77,100,2.95,1,13800,1200,25200,9000,0.55
2019-02-25,7811,中本パックス,東S,貸借,35300,14000890000,8173315.820198482,12.1,1.2,100,14.4,1,4300,2000,8600,5200,0.5
2019-02-25,8008,４℃ホールディングス,東P,貸借,345300,62857090000,29331353.243117124,19.19,1.08,100,6.15,1,9500,3200,26200,4500,0.36
2019-02-25,8011,三陽商会,東P,貸借,23500,21938650000,12622928.653624857,-1.0,-1.0,100,0.05,1,12600,0,46800,5600,0.27
2019-02-25,8016,オンワードホールディングス,東P,貸借,1013200,105175830000,157921666.66666666,18.26,0.57,100,1.85,1,7100,0,98700,30000,0.07
2019-02-25,8125,ワキタ,東P,貸借,95100,63518000000,52021294.02129402,15.14,0.68,100,4.65,1,19900,500,28800,0,0.69
2019-02-25,8167,リテールパートナーズ,東P,貸借,29400,49398170000,46646052.880075544,14.54,0.66,100,1.6,1,6200,500,5200,2400,1.19
2019-02-25,8185,チヨダ,東P,貸借,38600,78684500000,41609994.7117927,41.78,0.95,100,3.0,1,1700,0,29300,0,0.06
2019-02-25,8200,リンガーハット,東P,貸借,159900,62146040000,26067969.79865772,73.04,3.2,100,1.15,1,6800,4700,118200,39300,0.06
2019-02-25,8233,高島屋,東P,貸借,709000,264150580000,177759475.10094213,15.07,0.56,100,0.75,1,97800,9300,97800,0,1.0
2019-02-25,8237,松屋,東P,貸借,80700,56753460000,53289633.802816905,41.1,2.61,100,0.25,1,25100,200,75700,2200,0.33
2019-02-25,8244,近鉄百貨店,東S,貸借,37800,133445200000,40437939.39393939,27.46,3.62,100,1.0,1,1100,100,15700,1900,0.07
2019-02-25,8254,さいか屋,東S,貸借,2300,965670000,3135292.2077922076,-1.0,0.64,100,0.0,1,500,0,0,0,-1.0
2019-02-25,8260,井筒屋,東S,貸借,17300,2422380000,11480473.933649288,-1.0,0.32,100,0.0,1,31400,8700,58700,0,0.53
2019-02-25,8267,イオン,東P,貸借,3347000,2083000000000,871912934.2821264,85.54,1.85,100,2.65,1,54000,1500,418800,56200,0.13
2019-02-25,8273,イズミ,東P,貸借,176400,371942380000,71665198.45857418,15.8,1.86,100,2.45,1,10900,7400,9200,800,1.18
2019-02-25,8278,フジ,東P,貸借,149800,71873250000,38291555.67394779,9.86,0.84,100,1.6,1,25000,22700,15600,4700,1.6
2019-02-25,8905,イオンモール,東P,貸借,1878800,425601580000,227472784.60716194,12.69,1.11,100,3.0,1,6000,0,28700,18500,0.21
2019-02-25,9418,ＵＳＥＮ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東P,貸借,21900,57119920000,60063007.36067297,9.41,2.7,100,0.0,1,20400,0,0,0,-1.0
2019-02-25,9601,松竹,東P,貸借,42100,162376030000,13937856.652360516,61.63,1.73,100,4.8,1,5500,0,30200,8200,0.18
2019-02-25,9602,東宝,東P,貸借,819300,771081780000,188990632.3529412,24.27,2.07,100,3.0,1,2400,0,86700,12200,0.03
2019-02-25,9787,イオンディライト,東P,貸借,221700,220470400000,54169631.44963145,31.74,2.78,100,2.55,1,3500,1300,13100,6300,0.27
2019-02-25,9835,ジュンテンドー,東S,貸借,18100,5023690000,8331160.862354892,-1.0,0.46,100,9.6,1,1200,100,23100,8500,0.05
2019-02-25,9842,アークランズ,東P,貸借,21700,59051660000,41381681.85003504,10.17,0.82,100,0.0,1,2500,0,3600,0,0.69
2019-02-25,9861,吉野家ホールディングス,東P,貸借,370200,120359420000,65129556.27705628,-1.0,2.42,100,3.0,1,2200,0,339700,100300,0.01
2019-02-25,9903,カンセキ,東S,貸借,1500,12131350000,8050000.0,15.18,1.53,100,0.0,1,1800,0,0,0,-1.0
2019-02-25,9942,ジョイフル,福,貸借,18800,39755210000,31931895.582329318,-1.0,3.91,100,0.0,1,500,0,0,0,-1.0
2019-02-25,9946,ミニストップ,東P,貸借,111500,56425090000,29372769.390942216,-1.0,1.09,100,1.9,1,1200,0,32900,6200,0.04
2019-02-25,9948,アークス,東P,貸借,429000,146430660000,57649866.14173228,14.11,0.97,100,3.85,1,8100,1300,11000,3100,0.74
2019-02-25,9974,ベルク,東P,貸借,41900,104965030000,20867799.204771373,15.97,1.65,100,5.3,1,2400,200,2400,100,1.0
2019-02-25,9979,大庄,東S,貸借,48600,33006780000,21198959.537572253,217.83,1.45,100,23.0,1,14300,13800,41300,14400,0.35
2019-02-25,9982,タキヒヨー,東S,貸借,20700,17184000000,9600000.0,-1.0,0.5,100,3.1,1,800,0,18900,7600,0.04
2019-03-12,2664,カワチ薬品,東P,貸借,193700,47691830000,24583417.525773197,21.49,0.47,100,7.2,3,1300,0,10500,2600,0.12
2019-03-15,4929,アジュバンホールディングス,東S,貸借,36800,7962000000,7962000.0,317.45,1.75,100,35.2,2,13900,400,69200,21700,0.2
2019-03-15,5204,石塚硝子,東S,貸借,29300,7528170000,4129550.1919912235,4.9,0.3,100,0.1,2,30200,100,9000,3400,3.36
2019-03-15,5933,アルインコ,東P,貸借,142300,21102440000,21039322.033898305,10.29,0.76,100,3.0,2,12900,600,11600,4500,1.11
2019-03-26,1301,極洋,東P,貸借,51300,33221980000,10928282.894736841,11.22,1.03,100,9.45,3,3800,0,8700,5200,0.44
2019-03-26,1332,ニッスイ,東P,貸借,1904100,249006930000,312430276.03513175,16.13,1.7,100,0.45,3,2800,0,622100,27100,0.0
2019-03-26,1379,ホクト,東P,貸借,144000,65683940000,33359035.043169122,19.49,1.19,100,1.2,3,17200,5000,55600,400,0.31
2019-03-26,1417,ミライト・ワン,東P,貸借,421100,168662530000,108325324.34168272,6.06,0.79,100,0.0,3,63700,1100,31100,0,2.05
2019-03-26,1420,サンヨーホームズ,東S,貸借,31700,11181320000,12620000.0,10.28,0.56,100,16.5,3,4300,0,34600,8400,0.12
2019-03-26,1431,Ｌｉｂ　Ｗｏｒｋ,東G,貸借,5600,2438550000,20153305.785123967,6.23,1.24,100,0.0,3,1600,0,0,0,-1.0
2019-03-26,1515,日鉄鉱業,東P,貸借,53200,38086570000,16704635.96491228,7.08,0.37,100,0.0,3,4400,0,800,0,5.5
2019-03-26,1518,三井松島ホールディングス,東P,貸借,196000,17127420000,13064393.592677345,7.6,0.52,100,0.0,3,23700,17800,1100,0,21.55
2019-03-26,1762,高松コンストラクショングループ,東P,貸借,127400,102954240000,38880000.0,13.13,0.89,100,0.15,3,4700,1900,5900,100,0.8
2019-03-26,1780,ヤマウラ,東P,貸借,88900,21082410000,21103513.513513513,15.36,1.35,100,1.2,3,10900,1100,57500,14200,0.19
2019-03-26,1801,大成建設,東P,貸借,590100,1136100000000,224525691.69960475,9.08,1.42,100,0.3,3,57200,3600,52300,700,1.09
2019-03-26,1803,清水建設,東P,貸借,1909000,754608480000,788514608.1504703,7.1,0.97,100,0.0,3,153200,16200,164500,2200,0.93
2019-03-26,1808,長谷工コーポレーション,東P,貸借,2701700,429233600000,300794393.83321655,4.48,1.07,100,0.15,3,312400,21400,312400,10800,1.0
2019-03-26,1860,戸田建設,東P,貸借,486500,223923810000,322656786.74351585,8.4,0.81,100,2.25,3,53400,18700,193700,0,0.28
2019-03-26,1904,大成温調,東S,貸借,3200,11348320000,7182481.012658228,18.24,0.45,100,0.0,3,4100,0,0,0,-1.0
2019-03-26,1925,大和ハウス工業,東P,貸借,1603900,2294500000000,666231126.5969802,9.51,1.41,100,4.8,3,180900,34500,407800,2800,0.44
2019-03-26,1951,エクシオグループ,東P,貸借,479500,345308200000,117812418.96963494,8.06,1.23,100,0.0,3,29400,4400,7100,5100,4.14
2019-03-26,1952,新日本空調,東P,貸借,50800,49300330000,25282220.512820512,14.71,1.06,100,2.1,3,2200,200,30300,0,0.07
2019-03-26,1965,テクノ菱和,東S,貸借,13400,20691290000,22888595.132743362,6.47,0.53,100,0.0,3,1500,400,1500,1300,1.0
2019-03-26,1976,明星工業,東P,貸借,318200,44480650000,59386715.62082777,7.39,0.77,100,0.15,3,11700,700,16500,300,0.71
2019-03-26,2001,ニップン,東P,貸借,164900,149135020000,78824006.34249471,17.45,0.98,100,2.4,3,1900,500,2300,700,0.83
2019-03-26,2002,日清製粉グループ本社,東P,貸借,621500,748416050000,304357889.3859292,32.84,1.81,100,1.2,3,32100,2000,65700,2600,0.49
2019-03-26,2004,昭和産業,東P,貸借,34200,99074780000,32969976.70549085,13.42,1.18,100,2.55,3,600,0,8900,1200,0.07
2019-03-26,2053,中部飼料,東P,貸借,40800,35929960000,30371901.944209635,9.36,0.67,100,0.0,3,3400,0,1300,100,2.62
2019-03-26,2108,日本甜菜製糖,東P,貸借,18200,30927140000,15325639.24677899,21.36,0.41,100,4.2,3,6800,100,7700,1200,0.88
2019-03-26,2109,ＤＭ三井製糖ホールディングス,東P,貸借,111300,81402080000,28333477.2015315,10.76,0.86,100,3.45,3,1600,200,800,500,2.0
2019-03-26,2112,塩水港精糖,東S,貸借,186800,8225000000,35000000.0,7.62,0.73,100,0.15,3,59300,3400,59300,4100,1.0
2019-03-26,2117,ウェルネオシュガー,東P,貸借,20200,47320390000,22673881.16914231,18.01,0.9,100,3.45,3,3000,500,2200,100,1.36
2019-03-26,2127,日本Ｍ＆Ａセンターホールディングス,東P,貸借,1538000,495661980000,327602101.78453404,54.87,17.93,100,1.05,3,108600,11600,228800,11600,0.47
2019-03-26,2139,中広,東S,貸借,7200,3930550000,7043996.415770609,14.29,1.7,100,0.0,3,12600,0,25300,0,0.5
2019-03-26,2179,成学社,東S,貸借,7500,5764350000,5875993.883792049,13.73,2.04,100,24.0,3,400,0,5200,3800,0.08
2019-03-26,2196,エスクリ,東S,貸借,70700,7752350000,11981993.817619784,7.04,1.04,100,0.0,3,12700,1000,0,0,-1.0
2019-03-26,2204,中村屋,東S,貸借,11100,26504460000,5976202.931228861,34.38,0.97,100,8.25,3,900,0,6800,400,0.13
2019-03-26,2207,名糖産業,東P,貸借,12100,25327750000,17264996.591683708,44.26,0.56,100,0.0,3,600,0,0,0,-1.0
2019-03-26,2222,寿スピリッツ,東P,貸借,383500,130087950000,155607595.69377992,32.75,7.11,100,0.3,3,63500,10000,63500,3000,1.0
2019-03-26,2267,ヤクルト本社,東P,貸借,612200,1289600000000,342068965.51724136,34.62,3.39,100,0.0,3,25600,7600,25600,6200,1.0
2019-03-26,2269,明治ホールディングス,東P,貸借,653800,1337500000000,305365296.80365294,20.33,2.39,100,6.75,3,10000,6000,248200,8000,0.04
2019-03-26,2282,日本ハム,東P,貸借,470700,426230770000,107498302.6481715,21.78,1.06,100,0.0,3,34200,700,3400,0,10.06
2019-03-26,2291,福留ハム,東S,貸借,9100,7857400000,3400000.0,-1.0,1.3,100,110.4,3,1600,200,13000,4900,0.12
2019-03-26,2296,伊藤ハム米久ホールディングス,東P,貸借,119640,205769700000,59471011.560693644,19.08,0.91,100,1.5,3,3080,280,6240,3800,0.49
2019-03-26,2327,日鉄ソリューションズ,東P,貸借,117400,275211970000,94704738.47212663,15.91,1.89,100,0.0,3,4900,1000,4900,300,1.0
2019-03-26,2359,コア,東P,貸借,75000,17297120000,14834579.759862779,13.31,1.63,100,0.0,3,8600,3800,3800,100,2.26
2019-03-26,2378,ルネサンス,東P,貸借,108200,43805570000,21378999.511957053,15.88,2.54,100,1.8,3,5300,1400,15200,9000,0.35
2019-03-26,2410,キャリアデザインセンター,東P,貸借,41300,8966140000,7054398.111723052,9.62,1.6,100,0.0,3,8400,0,8400,400,1.0
2019-03-26,2412,ベネフィット・ワン,東P,貸借,491800,317329600000,162400000.0,60.97,15.88,100,1.2,3,42300,8400,186300,600,0.23
2019-03-26,2464,Ａｏｂａ－ＢＢＴ,東S,貸借,10900,5677110000,14264095.477386935,23.43,1.18,100,0.0,3,5100,0,0,0,-1.0
2019-03-26,2531,宝ホールディングス,東P,貸借,649900,264630060000,201699740.85365853,24.97,1.75,100,0.0,3,47300,10000,14400,1500,3.28
2019-03-26,2594,キーコーヒー,東P,貸借,117100,48304880000,22688999.530295912,194.81,1.37,100,1.5,3,100,0,37200,8400,0.0
2019-03-26,2599,ジャパンフーズ,東S,貸借,8100,6553500000,5100000.0,-1.0,0.79,100,2.7,3,600,0,6700,2100,0.09
2019-03-26,2602,日清オイリオグループ,東P,貸借,90800,115963980000,34667856.502242155,11.98,0.78,100,3.3,3,19100,0,6200,1300,3.08
2019-03-26,2607,不二製油グループ本社,東P,貸借,273700,319190400000,87569382.71604939,27.05,2.0,100,0.0,3,6100,2800,5200,1700,1.17
2019-03-26,2613,Ｊ－オイルミルズ,東P,貸借,83000,68943620000,33500301.26336249,14.26,0.78,100,4.2,3,1400,0,12800,1800,0.11
2019-03-26,2652,まんだらけ,東S,貸借,19700,4175170000,7235996.533795494,6.78,0.52,100,0.0,3,6900,0,4200,2500,1.64
2019-03-26,2676,高千穂交易,東P,貸借,25700,10120940000,10171798.994974874,18.04,0.64,100,2.1,3,6000,600,10200,2000,0.59
2019-03-26,2681,ゲオホールディングス,東P,貸借,206000,66037420000,43878684.385382056,5.75,0.8,100,0.0,3,8400,2900,8400,0,1.0
2019-03-26,2692,伊藤忠食品,東P,貸借,36700,64511810000,13032688.888888888,18.97,0.74,100,3.9,3,1300,500,4700,1200,0.28
2019-03-26,2694,焼肉坂井ホールディングス,東S,貸借,233600,15172980000,197051688.3116883,-1.0,1.7,100,20.4,3,74900,0,257400,73300,0.29
2019-03-26,2705,大戸屋ホールディングス,東S,貸借,19900,17077660000,7236296.610169492,310.49,3.73,100,0.0,3,1000,100,0,0,-1.0
2019-03-26,2730,エディオン,東P,貸借,1046400,110773570000,112005631.95146613,8.69,0.57,100,2.25,3,19300,2300,4300,2400,4.49
2019-03-26,2733,あらた,東P,貸借,116800,68595170000,36045806.62112454,9.41,0.81,100,0.0,3,26600,0,10000,200,2.66
2019-03-26,2750,石光商事,東S,貸借,13200,3752000000,8000000.0,8.74,0.43,100,0.0,3,100,0,0,0,-1.0
2019-03-26,2801,キッコーマン,東P,貸借,646000,1023700000000,193882575.75757575,38.92,3.58,100,0.0,3,27800,9200,27800,3200,1.0
2019-03-26,2802,味の素,東P,貸借,1547700,963232520000,549163352.3375143,31.78,1.55,100,0.0,3,47100,3600,4600,0,10.24
2019-03-26,2804,ブルドックソース,東P,貸借,4000,14917760000,13954873.713751169,17.78,0.69,100,0.0,3,0,0,400,200,0.0
2019-03-26,2810,ハウス食品グループ本社,東P,貸借,294500,447514090000,102758688.86337543,32.51,1.81,100,2.55,3,8000,600,113300,1400,0.07
2019-03-26,2815,アリアケジャパン,東P,貸借,90300,37583760000,6306000.0,1.9,0.36,100,0.0,3,8800,700,5300,0,1.66
2019-03-26,2816,ダイショー,東S,貸借,7600,12622190000,9868795.93432369,37.87,1.56,100,31.2,3,100,0,4000,2500,0.03
2019-03-26,2819,エバラ食品工業,東S,貸借,21700,23052090000,10468705.722070845,13.22,0.89,100,2.4,3,100,0,4200,2000,0.02
2019-03-26,2875,東洋水産,東P,貸借,561800,459047520000,110881043.47826087,22.93,1.43,100,3.0,3,3800,2200,232200,7200,0.02
2019-03-26,2897,日清食品ホールディングス,東P,貸借,1236600,785351000000,317057327.41219217,39.44,2.34,100,3.75,3,21300,8400,13500,900,1.58
2019-03-26,2899,永谷園ホールディングス,東P,貸借,15800,48918520000,19138701.09546166,42.46,1.42,100,1.35,3,1800,100,7900,0,0.23
2019-03-26,2903,シノブフーズ,東S,貸借,9000,10466700000,13900000.0,12.45,0.79,100,0.0,3,2300,0,0,0,-1.0
2019-03-26,2907,あじかん,東S,貸借,6700,7792400000,7700000.0,8.37,0.62,100,26.4,3,400,100,300,100,1.33
2019-03-26,2908,フジッコ,東P,貸借,69600,76876370000,34991520.254893035,15.71,0.98,100,0.0,3,1400,0,1000,0,1.4
2019-03-26,2915,ケンコーマヨネーズ,東P,貸借,41500,35835300000,16476000.0,15.42,1.08,100,0.0,3,4800,2000,4800,0,1.0
2019-03-26,2922,なとり,東P,貸借,78300,25855390000,15032203.488372093,20.32,1.08,100,1.65,3,900,200,24500,3400,0.04
2019-03-26,3002,グンゼ,東P,貸借,53200,89136040000,19293515.151515152,19.52,0.73,100,0.0,3,3800,200,3800,0,1.0
2019-03-26,3034,クオールホールディングス,東P,貸借,222100,56409030000,38902779.31034483,13.67,1.38,100,0.0,3,7000,1800,6000,100,1.17
2019-03-26,3036,アルコニックス,東P,貸借,108800,32766860000,25882195.89257504,7.96,0.84,100,0.0,3,12200,4300,11800,0,1.03
2019-03-26,3058,三洋堂ホールディングス,東S,貸借,3100,7192800000,7400000.0,-1.0,1.59,100,24.0,3,100,0,1600,0,0.06
2019-03-26,3059,ヒラキ,東S,貸借,7900,5176220000,5155597.6095617525,8.85,0.77,100,2.1,3,400,0,4400,1700,0.09
2019-03-26,3067,東京一番フーズ,東S,貸借,22100,5567510000,8922291.666666666,55.25,2.96,100,11.4,3,200,200,35000,13000,0.01
2019-03-26,3088,マツキヨココカラ＆カンパニー,東P,貸借,1259400,392287240000,327725346.70008355,14.61,1.75,100,0.15,3,60300,44100,43500,33900,1.39
2019-03-26,3099,三越伊勢丹ホールディングス,東P,貸借,1699900,443101060000,395625946.4285714,32.4,0.76,100,0.45,3,35600,500,72900,6600,0.49
2019-03-26,3132,マクニカホールディングス,東P,貸借,348200,93025980000,62812950.70898042,10.43,0.7,100,0.15,3,25300,1200,19800,0,1.28
2019-03-26,3151,バイタルケーエスケー・ホールディングス,東P,貸借,125200,65755430000,61224795.15828678,11.3,0.6,100,1.8,3,1900,100,18300,0,0.1
2019-03-26,3166,ＯＣＨＩホールディングス,東S,貸借,21700,17775920000,13610964.777947932,12.29,1.18,100,33.6,3,2700,400,30200,8200,0.09
2019-03-26,3167,ＴＯＫＡＩホールディングス,東P,貸借,436300,119985100000,139679976.71711293,14.48,1.8,100,1.35,3,10500,8900,2900,200,3.62
2019-03-26,3178,チムニー,東S,貸借,45400,52007410000,19340799.55373745,43.02,2.98,100,96.0,3,16000,3300,26300,9000,0.61
2019-03-26,3179,シュッピン,東P,貸借,175400,18869900000,23946573.604060914,18.93,3.79,100,0.0,3,29300,7300,25200,1000,1.16
2019-03-26,3183,ウイン・パートナーズ,東P,貸借,59100,36573460000,30503302.75229358,13.03,1.76,100,2.85,3,3100,400,19200,1100,0.16
2019-03-26,3205,ダイドーリミテッド,東S,貸借,213900,12590760000,37696886.22754491,-1.0,0.69,100,0.3,3,15300,700,69500,9400,0.22
2019-03-26,3221,ヨシックスホールディングス,東P,貸借,56400,36357550000,10314198.581560284,23.63,5.37,100,0.3,3,14500,0,11700,500,1.24
2019-03-26,3232,三重交通グループホールディングス,東P,貸借,315300,61913010000,107301577.12305026,12.64,1.18,100,0.9,3,3200,0,206700,109000,0.02
2019-03-26,3289,東急不動産ホールディングス,東P,貸借,2635300,470049620000,719830964.7779479,12.54,0.84,100,0.0,3,82500,0,19800,200,4.17
2019-03-26,3291,飯田グループホールディングス,東P,貸借,701100,592102020000,294431636.00198907,8.86,0.76,100,3.0,3,700,0,129800,9800,0.01
