取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2021-02-16,1301,極洋,,,,,,,,3065,,0,200,5800,100,0,600,5200,57.14,-300,-3.30,15.6,9.67,9100,27897500
2021-02-16,1305,ＥＴＦ・ＴＰＸ,,,,,,,,2068,,540,0,10390,560,6310,40180,-29790,-6.86,6290,1.45,46.6,0.26,434330,897823980
2021-02-16,1306,ＮＦＴＯＰＩＸ,,,,,,,,2043,,170,1810,29130,17100,2120,33300,-4170,-0.13,-16620,-0.52,4.0,0.87,3207460,6559368880
2021-02-16,1308,上場ＴＰＸ,,,,,,,,2022,,0,0,0,1300,16400,118500,-118500,-37.91,15100,4.83,27.5,0,312600,631547600
2021-02-16,1309,ＮＦ中国株上証５０,,,,,,,,49850,,0,134,33,205,51,321,-288,-19.61,-288,-19.61,4.7,0.10,1469,73368650
2021-02-16,1311,ＮＦＴＰＸ３０,,,,,,,,924,,330,0,340,50,0,270,70,0.44,280,1.75,2.6,1.26,15970,14755720
2021-02-16,1312,ＮＦＲＮ小型コア,,,,,,,,21670,,0,0,5,1,0,121,-116,-111.54,-1,-0.96,31.9,0.04,104,2246500
2021-02-16,1313,ＫＯＤＥＸ２００,売禁,,,,,,,4190,,0,0,0,0,0,0,0,0,0,0,,,430,1793550
2021-02-16,1319,日経３００,売禁,,,,,,,369,,0,2000,0,0,0,0,0,0,-2000,-4.00,8.0,,50000,18484000
2021-02-16,1320,ＥＴＦ・２２５,,,,,,,,31300,,90,1594,3347,1004,1474,23536,-20189,-25.24,-1034,-1.29,20.9,0.14,79983,2504104100
2021-02-16,1321,ＮＦ日経２２５,,,,,,,,31350,,777,4603,44958,1534,54997,148570,-103612,-24.61,49637,11.79,18.2,0.30,421027,13238542600
2021-02-16,1322,上場パンタ,売禁,,,,,,,10670,,50,50,470,0,0,0,470,7.56,0,0,4.9,,6220,65538400
2021-02-16,1323,ＮＦ南アフリカ株,,,,,,,,399,,0,1400,500,0,0,3300,-2800,-43.08,-1400,-21.54,7.5,0.15,6500,2577100
2021-02-16,1324,ＮＦロシア株,,,,,,,,143,,1300,0,1700,0,0,400,1300,2.32,1300,2.32,5.8,4.25,56000,8014900
2021-02-16,1325,ＮＦブラジル株,,,,,,,,172,,0,6000,8200,0,0,15600,-7400,-18.69,-6000,-15.15,25.7,0.53,39600,6846700
2021-02-16,1326,ＳＰＤＲゴール,,,,,,,,18010,,0,73,593,0,0,0,593,3.78,-73,-0.47,31.1,,15678,282778710
2021-02-16,1327,ＥＡＳＹ商品,売禁,,,,,,,3450,,0,0,0,0,0,0,0,0,0,0,,,403,1371075
2021-02-16,1328,ＮＦ金価格,,,,,,,,4895,,0,320,10790,0,490,250,10540,7.56,170,0.12,45.3,43.16,139390,682709200
2021-02-16,1329,ｉＳ２２５,,,,,,,,31400,,5,40,506,185,1225,4434,-3928,-15.94,1005,4.08,12.0,0.11,24640,773031350
2021-02-16,1330,上場２２５,,,,,,,,31500,,0,0,0,4550,9180,72630,-72630,-96.69,4630,6.16,25.5,0,75120,2360322500
2021-02-16,1332,日水,,,,,,,,505,,13000,3000,105900,100,0,4200,101700,4.28,9900,0.42,14.7,25.21,2377800,1196401700
2021-02-16,1333,マルハニチロ,,,,,,,,2477,,300,0,5400,0,0,1600,3800,3.15,300,0.25,4.0,3.38,120600,298967800
2021-02-16,1343,ＮＦＪ－ＲＥＩＴ,,,,,,,,2124,,20060,131830,85450,0,0,261810,-176360,-23.08,-111770,-14.63,9.5,0.33,764030,1613544650
2021-02-16,1344,ＭＸＳコア３０,,,,,,,,856,,0,0,0,0,0,0,0,0,0,0,,,3540,3021840
2021-02-16,1345,上場Ｊリート,,,,,,,,2015,,1700,100,9500,900,900,45800,-36300,-21.80,1600,0.96,14.9,0.21,166500,334651000
2021-02-16,1346,ＭＸＳ２２５,,,,,,,,31350,,32,50,857,17,1005,6250,-5393,-15.90,970,2.86,14.0,0.14,33921,1063869650
2021-02-16,1348,ＭＸＳトピクス,,,,,,,,2027,,1000,810,1280,270,240,1120,160,0.15,160,0.15,3.3,1.14,108250,219849470
2021-02-16,1349,アジア債券,売禁,,,,,,,13230,,0,0,0,0,0,0,0,0,0,0,,,327,4313850
2021-02-16,1352,ホウスイ,,,,,,,,992,,0,400,200,0,0,0,200,28.57,-400,-57.14,3.1,,700,696400
2021-02-16,1356,ＴＰダブルインバース,,,,,,,,1189,,100,1800,75480,0,0,0,75480,18.29,-1700,-0.41,36.2,,412780,489422030
2021-02-16,1357,ＮＦ日経ダブインバ,,,,,,,,396,,776355,91000,8495494,440701,0,2666067,5829427,5.42,244654,0.23,20.4,3.19,107628382,42512881601
2021-02-16,1358,上場日経２倍,,,,,,,,32850,,0,40,1528,189,1841,3049,-1521,-5.17,1612,5.48,8.2,0.50,29400,964292150
2021-02-16,1360,ダブルインバース日経,,,,,,,,961,,104710,112280,953580,45900,6710,661100,292480,2.66,-46760,-0.42,8.8,1.44,11010850,10585198320
2021-02-16,1364,ｉＳＪＰＸ日経４００,,,,,,,,18030,,10,1,11,0,0,250,-239,-17.36,9,0.65,20.6,0.04,1377,25042410
2021-02-16,1365,大和２２５ダブル,,,,,,,,27170,,1485,37,2591,103,1201,6689,-4098,-4.39,2546,2.73,4.8,0.39,93299,2532313810
2021-02-16,1366,大和２２５ダブルベア,,,,,,,,1031,,9260,220,39193,0,4786,1550,37643,3.53,13826,1.30,9.9,25.29,1066016,1097815443
2021-02-16,1367,大和ＴＰＸダブル,,,,,,,,18800,,2444,52,3179,6,134,1973,1206,8.40,2520,17.54,3.9,1.61,14365,270630260
2021-02-16,1368,大和ＴＰＸダブルベア,,,,,,,,1721,,260,100,29100,0,1,11,29089,31.67,161,0.18,203.0,2645.45,91854,158194325
2021-02-16,1369,Ｏｎｅ・日経２２５,,,,,,,,30500,,3,0,272,0,179,513,-241,-10.10,182,7.63,24.6,0.53,2385,72662800
2021-02-16,1375,雪国まいたけ,,,,,,,,1816,,400,0,17400,0,0,0,17400,9.59,400,0.22,78.5,,181500,328516500
2021-02-16,1376,カネコ種苗,,,,,,,,1597,,0,0,400,0,0,0,400,13.79,0,0,44.0,,2900,4615800
2021-02-16,1377,サカタのタネ,,,,,,,,3980,,0,5700,3200,900,300,9500,-6300,-6.78,-6300,-6.78,3.7,0.34,92900,370540000
2021-02-16,1379,ホクト,,,,,,,,2154,,0,100,5500,100,600,900,4600,5.00,400,0.43,16.1,6.11,92000,197683400
2021-02-16,1380,秋川牧園,,,,,,,,1190,,0,200,5700,0,0,0,5700,86.36,-200,-3.03,83.1,,6600,7941100
2021-02-16,1381,アクシーズ,,,,,,,,3295,,0,200,700,0,0,0,700,25.00,-200,-7.14,5.6,,2800,9212500
2021-02-16,1382,ホーブ,,,,,,,,910,,0,200,100,0,0,0,100,4.76,-200,-9.52,3.7,,2100,1901700
2021-02-16,1383,ベルグアース,,,,,,,,2450,,0,200,2000,0,0,0,2000,86.96,-200,-8.70,22.9,,2300,5624100
2021-02-16,1384,ホクリヨウ,,,,,,,,680,,5000,0,70300,0,0,0,70300,83.99,5000,5.97,132.6,,83700,57303900
2021-02-16,1385,ＵＢＳユーロ圏株５０,売禁,,,,,,,4785,,0,0,30,0,0,0,30,3.99,0,0,2.4,,752,3580135
2021-02-16,1386,ＵＢＳ欧州株,売禁,,,,,,,8660,,0,11,25,0,0,0,25,8.39,-11,-3.69,1.7,,298,2569380
2021-02-16,1387,ＵＢＳユーロ圏株,注喚,,,,,,,17300,,0,0,73,0,0,76,-3,-5.88,0,0,1490.0,0.96,51,881520
2021-02-16,1388,ＵＢＳユーロ圏小型株,売禁,,,,,,,14720,,2,0,2,0,0,0,2,20.00,2,20.00,2.0,,10,147750
2021-02-16,1389,ＵＢＳ英国大型１００,注喚,,,,,,,9330,,0,254,84,0,0,3,81,2.87,-254,-9.01,2.3,28.00,2818,26342940
2021-02-16,1390,ＵＢＳアジア太平洋株,売禁,,,,,,,5000,,0,33,0,0,0,0,0,0,-33,-11.46,1.7,,288,1445590
2021-02-16,1391,ＵＢＳスイス株,注喚,,,,,,,2497,,0,13,2,1,0,6,-4,-2.07,-14,-7.25,2.5,0.33,193,479018
2021-02-16,1392,ＵＢＳ英国株,注喚,,,,,,,2590,,0,148,1281,0,0,105,1176,35.76,-148,-4.50,3.0,12.20,3289,8541442
2021-02-16,1393,ＵＢＳ米国株,売禁,,,,,,,41000,,0,0,0,0,0,0,0,0,0,0,,,53,2184000
2021-02-16,1394,ＵＢＳ先進国株,注喚,,,,,,,30400,,0,0,0,0,0,2,-2,-200.00,0,0,10.0,0,1,30400
2021-02-16,1397,ＳＭＤＡＭ　２２５,,,,,,,,30750,,26,0,26,0,2,7,19,33.93,28,50.00,4.9,3.71,56,1722280
2021-02-16,1398,ＳＭＤＡＭ　Ｊリート,,,,,,,,2030,,0,0,0,0,0,0,0,0,0,0,0,,7580,15324920
2021-02-16,1399,上場高配当低ボラ,,,,,,,,1561,,0,0,0,0,0,0,0,0,0,0,,,1640,2571200
2021-02-16,1400,ルーデン,,,,,,,,353,,0,1000,3800,0,0,0,3800,0.30,-1000,-0.08,2.5,,1272600,452265500
2021-02-16,1401,エムビーエス,,,,,,,,625,,0,1300,8700,0,0,0,8700,155.36,-1300,-23.21,12.1,,5600,3484700
2021-02-16,1407,ウエストＨＤ,注喚,,,,,,,4160,,15800,15900,165300,200,0,5500,159800,101.40,-300,-0.19,14.5,30.05,157600,659186000
2021-02-16,1413,ヒノキヤグループ,,,,,,,,2248,,0,300,500,0,0,0,500,0.94,-300,-0.57,4.5,,53000,120168000
2021-02-16,1414,ショーボンド,,,,,,,,4775,,700,400,40100,0,0,300,39800,12.28,300,0.09,46.7,133.67,324200,1547268500
2021-02-16,1417,ミライトＨＤ,,,,,,,,1734,,3100,0,59700,0,300,800,58900,27.29,3400,1.58,16.1,74.63,215800,374584200
2021-02-16,1418,インターライフ,,,,,,,,234,,0,12200,73700,100,0,86000,-12300,-69.49,-12300,-69.49,23.9,0.86,17700,4163500
2021-02-16,1419,タマホーム,,,,,,,,2015,,500,1100,6000,37700,5500,346800,-340800,-81.63,-32800,-7.86,17.0,0.02,417500,838422900
2021-02-16,1420,サンヨーＨ,,,,,,,,811,,100,500,44000,0,0,11600,32400,129.08,-400,-1.59,33.8,3.79,25100,20758400
2021-02-16,1429,日本アクア,,,,,,,,630,,0,800,18700,0,1800,5800,12900,9.18,1000,0.71,10.8,3.22,140500,88848600
2021-02-16,1430,ファーストコーポ,,,,,,,,719,,100,500,4800,100,0,5300,-500,-2.08,-500,-2.08,19.9,0.91,24000,17215500
2021-02-16,1431,リブワーク,,,,,,,,1897,,0,0,2900,0,0,0,2900,5.88,0,0,8.5,,49300,93834300
2021-02-16,1433,ベステラ,,,,,,,,1675,,300,200,14000,2100,2600,11700,2300,8.81,600,2.30,12.1,1.20,26100,43863600
2021-02-16,1434,ＪＥＳＣＯ　ＨＤ,,,,,,,,613,,6700,500,32000,0,0,0,32000,22.22,6200,4.31,2.8,,144000,91975800
2021-02-16,1435,ＴＡＴＥＲＵ,,,,,,,,179,,3000,2400,45700,0,0,0,45700,16.64,600,0.22,9.2,,274600,49025500
2021-02-16,1436,フィット,,,,,,,,1335,,0,400,13000,0,0,0,13000,58.04,-400,-1.79,50.4,,22400,29612900
2021-02-16,1439,安江工務店,,,,,,,,1010,,100,200,500,0,0,0,500,35.71,-100,-7.14,2.0,,1400,1425100
2021-02-16,1443,技研ホールディングス,,,,,,,,312,,7100,9300,32600,0,0,0,32600,8.03,-2200,-0.54,8.6,,406200,127791400
2021-02-16,1446,キャンディル,,,,,,,,544,,4900,3700,15500,400,0,14700,800,0.50,800,0.50,10.6,1.05,159800,88336700
2021-02-16,1447,ＩＴｂｏｏｋＨＤ,,,,,,,,496,,300,11600,200500,0,0,0,200500,12.19,-11300,-0.69,63.1,,1645400,796640700
2021-02-16,1448,スペースバリューＨＤ,,,,,,,,708,,2100,0,22100,4400,7800,38500,-16400,-9.79,5500,3.28,15.2,0.57,167500,120840600
2021-02-16,1450,田中建設工業,,,,,,,,2687,,400,100,12200,0,0,0,12200,45.52,300,1.12,71.3,,26800,71814800
2021-02-16,1451,ＫＨＣ,,,,,,,,582,,0,200,1600,0,0,0,1600,23.19,-200,-2.90,24.6,,6900,4014100
2021-02-16,1456,大和２２５ベア,,,,,,,,4225,,50,24,54,0,5,23,31,0.01,31,0.01,6.0,2.35,330886,1399224555
2021-02-16,1457,大和ＴＰＸベア,,,,,,,,5410,,0,116,14,0,0,0,14,0.31,-116,-2.55,1.2,,4553,24590730
2021-02-16,1458,楽天２２５ダブルブル,,,,,,,,20600,,3530,2188,14388,0,746,13807,581,0.04,2088,0.14,4.6,1.04,1531342,31551669660
2021-02-16,1459,楽天２２５ダブルベア,,,,,,,,1571,,57763,12822,651122,0,0,0,651122,21.08,44941,1.46,9.7,,3088348,4851339410
2021-02-16,1460,ＭＸＳ　Ｊクオ,売禁,,,,,,,23800,,0,0,0,0,0,0,0,,0,,,,0,0
2021-02-16,1464,大和Ｊ４００ダブル,,,,,,,,15100,,0,3,0,0,4,47,-47,-9.22,1,0.20,41.8,0,510,7705370
2021-02-16,1465,大和Ｊ４００ベア,,,,,,,,5260,,0,0,220,0,0,1,219,180.99,0,0,116.5,220.00,121,634600
2021-02-16,1466,大和Ｊ４００ダブベア,,,,,,,,2221,,0,0,0,4,0,4,-4,-0.12,-4,-0.12,0.3,0,3227,7152988
2021-02-16,1467,ＪＰＸ日経４００ブル,売禁,,,,,,,14400,,30,10,360,0,20,20,340,72.34,40,8.51,14.9,18.00,470,6643700
2021-02-16,1468,ＪＰＸ日経４００ベア,,,,,,,,5130,,0,0,0,0,0,0,0,0,0,0,,,10,51300
2021-02-16,1469,４００ベア２倍,,,,,,,,2230,,0,170,1120,0,0,1290,-170,-2.98,-170,-2.98,65.3,0.87,5700,12702340
2021-02-16,1470,ＮＦＪ４００レバ,,,,,,,,24900,,0,2,795,0,3,144,651,165.23,1,0.25,172.8,5.52,394,9809310
2021-02-16,1471,ＮＦＪ４００インバ,,,,,,,,3385,,0,25,95,0,0,0,95,35.71,-25,-9.40,19.1,,266,897095
2021-02-16,1472,ＮＦＪ４００Ｄインバ,,,,,,,,909,,0,1,0,0,0,0,0,0,-1,-0.02,0.6,,4022,3616703
2021-02-16,1473,Ｏｎｅ・トピックス,,,,,,,,1985,,0,0,0,0,0,430,-430,-1.79,0,0,,0,23970,47676990
2021-02-16,1474,Ｏｎｅ・ＪＰＸ４００,,,,,,,,17910,,0,0,0,0,0,0,0,0,0,0,4.1,,1127,20209230
2021-02-16,1475,ｉＳＴＯＰＩＸ,,,,,,,,1999,,400,200,3021,10,15,1369,1652,1.27,205,0.16,2.3,2.21,130176,261044182
2021-02-16,1476,ｉＳＪリート,,,,,,,,2039,,295,0,379,0,0,19,360,0.56,295,0.46,0.5,19.95,63930,129547790
2021-02-16,1477,ｉＳＭＳＣＩ最小分散,,,,,,,,1909,,0,6,3,0,0,0,3,0.48,-6,-0.97,1.7,,619,1183593
2021-02-16,1478,ｉＳＭＳＣＩ高配当,,,,,,,,2115,,0,61,53,0,0,0,53,0.45,-61,-0.52,3.8,,11737,24776396
2021-02-16,1479,大和ＭＳＣＩ人材設備,,,,,,,,23830,,0,0,0,0,0,34,-34,-161.90,0,0,,0,21,500490
2021-02-16,1480,ＮＦ企業価値,,,,,,,,19900,,0,0,0,0,0,0,0,0,0,0,,,3,59500
2021-02-16,1481,上場日本経済貢献,,,,,,,,1928,,0,1,2,0,0,0,2,0.35,-1,-0.18,5.6,,567,1094240
2021-02-16,1482,ｉＳ米国債七十円へジ,,,,,,,,2410,,100,1,458,0,3,163,295,3.39,102,1.17,8.8,2.81,8705,20959627
2021-02-16,1483,ｉＳ設備人材,,,,,,,,1880,,0,20,58,0,0,98,-40,-88.89,-20,-44.44,6.0,0.59,45,84734
2021-02-16,1484,Ｏｎｅ・設備人材投資,,,,,,,,1912,,0,0,0,0,0,0,0,0,0,0,,,240,458660
2021-02-16,1485,ＭＸＳ　Ｊ積極投資,,,,,,,,31100,,0,0,0,0,0,2,-2,-200.00,0,0,3.5,0,1,31100
2021-02-16,1486,上場米債ヘッジなし,注喚,,,,,,,20960,,0,3,0,7,0,16,-16,-18.82,-10,-11.76,2.1,0,85,1780790
2021-02-16,1487,上場米債ヘッジあり,注喚,,,,,,,18800,,0,3,0,10,0,13,-13,-0.39,-13,-0.39,1.8,0,3330,62632850
2021-02-16,1488,大和Ｊリート,,,,,,,,2058,,30,0,50,0,0,0,50,0.06,30,0.04,1.4,,79710,162182490
2021-02-16,1489,ＮＦ日経高配当５０,,,,,,,,33650,,110,47,212,0,91,87,125,4.80,154,5.91,6.0,2.44,2604,87876500
2021-02-16,1490,上場ベータヘッジ,,,,,,,,7640,,0,0,0,0,0,0,0,0,0,0,,,60,458100
2021-02-16,1491,中外鉱,,,,,,,,35,,113100,7000,379900,0,0,0,379900,6.72,106100,1.88,5.4,,5653400,197745300
2021-02-16,1492,ＭＸＳ　中小型,,,,,,,,15690,,0,0,26,0,11,22,4,10.53,11,28.95,14.4,1.18,38,596850
2021-02-16,1493,Ｏｎｅ・中小型,,,,,,,,15890,,0,1,0,0,0,5,-5,-14.29,-1,-2.86,58.0,0,35,556150
2021-02-16,1494,Ｏｎｅ・高配当日本株,,,,,,,,19110,,0,0,0,0,0,0,0,0,0,0,,,1769,33896020
2021-02-16,1495,上場アジアリート,,,,,,,,10050,,10,20,10,0,10,10,0,0,0,0,2.9,1.00,1460,14687200
2021-02-16,1496,ｉＳ米＄ＩＧ社債ヘジ,,,,,,,,2610,,0,0,440,0,0,10,430,5.42,0,0,6.7,44.00,7928,20697523
2021-02-16,1497,ｉＳ米＄ＨＹ社債ヘジ,注喚,,,,,,,2381,,0,3509,2565,1,0,6075,-3510,-25.60,-3510,-25.60,11.8,0.42,13712,32604861
2021-02-16,1498,Ｏｎｅ・ＥＳＧ,,,,,,,,14660,,0,0,0,0,0,0,0,0,0,0,,,147,2166030
2021-02-16,1499,ＭＸＳ高配当７０ＭＮ,,,,,,,,7920,,12,0,12,0,0,2,10,34.48,12,41.38,2.3,6.00,29,228500
2021-02-16,1514,住石ＨＤ,,,,,,,,113,,0,11700,104400,0,300,1900,102500,30.15,-11400,-3.35,12.9,54.95,340000,38457800
2021-02-16,1515,日鉄鉱,,,,,,,,5440,,200,100,1800,0,100,300,1500,5.56,200,0.74,7.0,6.00,27000,147854000
2021-02-16,1518,三井松島ＨＤ,,,,,,,,916,,500,1100,12600,0,500,11300,1300,2.04,-100,-0.16,14.8,1.12,63700,58873300
2021-02-16,1540,純金信託,,,,,,,,5940,,3329,2000,28773,0,0,17000,11773,7.19,1329,0.81,10.4,1.69,163787,974601520
2021-02-16,1541,純プラ信,,,,,,,,4085,,321,14444,6526,204,453,10712,-4186,-1.05,-13874,-3.47,4.2,0.61,399274,1663447965
2021-02-16,1542,純銀信託,,,,,,,,9290,,2242,0,8646,128,0,128,8518,8.25,2114,2.05,6.5,67.55,103191,948302580
2021-02-16,1543,純パラ信,売禁,,,,,,,72500,,2,3,281,0,0,0,281,65.20,-1,-0.23,58.3,,431,31008500
2021-02-16,1545,ＮＦＮＡＳＤＡＱ,,,,,,,,14830,,0,8282,12607,115,776,38004,-25397,-38.72,-7621,-11.62,15.8,0.33,65590,972400460
2021-02-16,1546,ＮＦＮＹダウ,注喚,,,,,,,32600,,86,1499,1807,315,28,3873,-2066,-13.52,-1700,-11.12,10.9,0.47,15285,498663600
2021-02-16,1547,上場米国,,,,,,,,4520,,150,50,2040,140,1370,15290,-13250,-32.21,1330,3.23,30.3,0.13,41130,185939600
2021-02-16,1550,ＭＸＳ外株,,,,,,,,3025,,0,1330,0,0,490,840,-840,-16.41,-840,-16.41,2.5,0,5120,15517250
2021-02-16,1551,ＪＡＳＤＡＱ２０,,,,,,,,5210,,0,50,210,0,30,430,-220,-31.43,-20,-2.86,4.8,0.49,700,3673800
2021-02-16,1552,ＶＩＸ短期先物,売禁,,,,,,,5340,,40504,390,381255,0,0,0,381255,55.05,40114,5.79,25.0,,692582,3673770480
2021-02-16,1554,上場ＭＳ世,注喚,,,,,,,2667,,100,0,3120,0,0,1290,1830,39.02,100,2.13,130.2,2.42,4690,12483280
2021-02-16,1555,上場Ａリート,,,,,,,,1517,,0,10,110,0,10,10,100,0.62,0,0,3.9,11.00,16030,24321000
2021-02-16,1557,ＳＰＤＲ５００,売禁,,,,,,,41700,,0,55,301,0,0,0,301,6.65,-55,-1.22,17.9,,4526,188646250
2021-02-16,1559,ＮＦタイ株,,,,,,,,3085,,50,81,81,0,0,112,-31,-5.49,-31,-5.49,9.6,0.72,565,1742560
2021-02-16,1560,ＮＦマレーシア株,,,,,,,,4100,,0,27,54,0,0,0,54,27.84,-27,-13.92,3.3,,194,799820
2021-02-16,1563,マザーズコア,,,,,,,,3400,,1122,107,3832,277,1251,5733,-1901,-23.49,1989,24.58,10.2,0.67,8092,27718760
2021-02-16,1566,上場ＥＭ債,,,,,,,,45500,,0,2,0,13,0,13,-13,-2.06,-15,-2.37,2.2,0,632,28763450
2021-02-16,1567,ＭＸＳリスク５,注喚,,,,,,,1160,,0,0,0,0,0,0,0,,0,,,,0,0
2021-02-16,1568,ＴＰレバレッジダブル,,,,,,,,24200,,210,4040,8250,3970,1480,27280,-19030,-11.24,-6320,-3.73,8.0,0.30,169340,4111171700
2021-02-16,1569,トピックスインバース,,,,,,,,2263,,90,510,410,0,0,20,390,2.42,-420,-2.60,6.8,20.50,16130,36456240
2021-02-16,1570,ＮＦ日経レバ,注喚,,,,,,,35400,,148672,9271,195138,3257,222611,219000,-23862,-0.40,358755,5.95,4.0,0.89,6026610,213402610450
2021-02-16,1571,ＮＦ日経インバ,,,,,,,,982,,5120,0,81103,0,0,200,80903,3.34,5120,0.21,32.7,405.51,2422215,2377084875
2021-02-16,1572,Ｈ株レバレッジダブル,売禁,,,,,,,13500,,70,150,1330,0,0,0,1330,58.08,-80,-3.49,24.0,,2290,31154100
2021-02-16,1573,Ｈ株インバース,注喚,,,,,,,5860,,0,120,50,10,0,180,-130,-68.42,-130,-68.42,21.2,0.28,190,1115300
2021-02-16,1574,ＭＸＳリスク１０,売禁,,,,,,,1570,,0,0,10,0,0,0,10,50.00,0,0,,,20,32200
2021-02-16,1575,中国Ａ３００,売禁,,,,,,,1913,,390,210,2420,0,0,0,2420,16.56,180,1.23,12.0,,14610,27010090
2021-02-16,1576,南方Ａ５０,売禁,,,,,,,949,,30,180,30,0,0,0,30,0.72,-150,-3.62,1.1,,4140,3955110
2021-02-16,1577,ＮＦ日本高配当７０,,,,,,,,22040,,7,11,7,0,7,11,-4,-0.14,3,0.11,2.4,0.64,2773,61186180
2021-02-16,1578,上場２２５Ｍ,,,,,,,,2424,,44,65,96,59,0,176,-80,-2.57,-80,-2.57,1.4,0.55,3107,7512587
2021-02-16,1579,日経レバレッジダブル,,,,,,,,37700,,160,1280,8220,3820,22520,40240,-32020,-5.79,17580,3.18,5.2,0.20,552730,20858523500
2021-02-16,1580,２２５インバース,,,,,,,,2618,,460,120,3170,0,0,0,3170,2.78,340,0.30,8.9,,113830,297598700
2021-02-16,1584,ＫＯＤＥＸサムスン株,売禁,,,,,,,1013,,0,30,0,0,0,0,0,0,-30,-13.04,1.4,,230,232050
2021-02-16,1585,ダイワＥＸ－Ｆ,,,,,,,,1543,,0,0,0,0,0,0,0,0,0,0,,,10,15430
2021-02-16,1586,上場ＴＰＸ除く金融,,,,,,,,1730,,0,0,0,0,0,0,0,0,0,0,,,38,65997
2021-02-16,1591,ＮＦＪＰＸ４００,,,,,,,,17830,,222,104,222,26,53,77,145,1.47,145,1.47,3.7,2.88,9858,176339970
2021-02-16,1592,上場ＪＰＸ日経４００,,,,,,,,1627,,223,111,224,0,217,0,224,0.07,329,0.10,1.7,,323079,528420926
2021-02-16,1593,ＭＸＳ４００,,,,,,,,18170,,0,0,50,0,595,250,-200,-5.87,595,17.47,7.3,0.20,3405,61981240
2021-02-16,1595,ＮＺＡＭ　Ｊリート,,,,,,,,2021,,0,0,0,30,0,30,-30,-0.03,-30,-0.03,2.0,0,94320,190154230
2021-02-16,1596,ＮＺＡＭ　Ｅｘ―Ｆ,,,,,,,,1736,,0,0,0,0,0,0,0,0,0,0,,,10,17360
2021-02-16,1597,ＭＸＳ　Ｊリート,,,,,,,,2044,,0,0,500,0,0,0,500,1.24,0,0,30.6,,40250,81702990
2021-02-16,1598,ＮＦＲＮファンダ,,,,,,,,19770,,0,0,0,25,0,25,-25,-71.43,-25,-71.43,2.0,0,35,687150
2021-02-16,1599,大和ＪＰＸ日経４００,,,,,,,,17900,,0,0,30,0,0,0,30,2.45,0,0,,,1223,22069610
2021-02-16,1605,国際帝石,,,,,,,,781,,14500,500,543000,72500,48900,317300,225700,1.17,-9600,-0.05,8.4,1.71,19304400,15238408400
2021-02-16,1615,ＮＦ銀行業,,,,,,,,146,,10300,218700,163300,182500,4000,550200,-386900,-5.61,-386900,-5.61,3.5,0.30,6890600,1001001700
2021-02-16,1617,ＮＦ食品Ｔ１７,,,,,,,,27670,,0,0,2,0,19,0,2,5.41,19,51.35,2.0,,37,1023340
2021-02-16,1618,ＮＦエネ資源Ｔ１７,,,,,,,,9880,,0,0,175,0,5,27,148,10.80,5,0.36,23.4,6.48,1370,13644710
2021-02-16,1619,ＮＦ建設資材Ｔ１７,,,,,,,,21800,,14,0,14,0,6,4,10,5.62,20,11.24,4.1,3.50,178,3892820
2021-02-16,1620,ＮＦ素材化学Ｔ１７,,,,,,,,27850,,0,10,0,0,0,10,-10,-31.25,-10,-31.25,15.0,0,32,893050
2021-02-16,1621,ＮＦ医薬品Ｔ１７,,,,,,,,25300,,0,0,4,0,4,3,1,0.54,4,2.16,4.1,1.33,185,4675490
2021-02-16,1622,ＮＦ自動車Ｔ１７,,,,,,,,21460,,0,0,10,10,2,19,-9,-6.04,-8,-5.37,4.2,0.53,149,3212940
2021-02-16,1623,ＮＦ鉄鋼非鉄Ｔ１７,,,,,,,,14710,,0,12,13,0,1,1,12,4.05,-11,-3.72,2.1,13.00,296,4355310
2021-02-16,1624,ＮＦ機械Ｔ１７,,,,,,,,41350,,0,0,0,1,2,42,-42,-350.00,1,8.33,70.3,0,12,494800
2021-02-16,1625,ＮＦ電機精密Ｔ１７,,,,,,,,29160,,0,0,8,0,7,19,-11,-2.24,7,1.43,5.2,0.42,491,14308850
2021-02-16,1626,ＮＦ情通・他Ｔ１７,,,,,,,,31600,,0,4,6,1,0,95,-89,-43.63,-5,-2.45,15.3,0.06,204,6468700
2021-02-16,1627,ＮＦ電力ガスＴ１７,,,,,,,,6370,,0,100,17,0,0,0,17,2.66,-100,-15.63,2.1,,640,4098960
2021-02-16,1628,ＮＦ運輸物流Ｔ１７,,,,,,,,15440,,0,27,0,0,1,8,-8,-0.71,-26,-2.31,2.6,0,1126,17397060
2021-02-16,1629,ＮＦ商社卸売Ｔ１７,,,,,,,,37000,,1,7,5,0,0,11,-6,-1.31,-6,-1.31,7.8,0.45,457,16912300
2021-02-16,1630,ＮＦ小売Ｔ１７,,,,,,,,24420,,0,0,0,0,0,5,-5,-100.00,0,0,4.2,0,5,121700
2021-02-16,1631,ＮＦ銀行Ｔ１７,,,,,,,,7890,,30,101,33,0,4,0,33,0.57,-67,-1.15,0.9,,5823,44151250
